assessment,farm_type,stage,process,input,drop_down,emission_factor,unit,reference_year,min,max,avg,step_value,unit
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,seeding,fuel for equipment,US natural gas mix,0.00249,kg CO2/l,2013,5,10,7.5,0.1,liter
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,seeding,fuel for equipment,EU-28 natural gas mix,0.00239,kg CO2/l,2013,5,10,7.5,0.1,liter
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,seeding,fuel for equipment,US Propane,1.82,kg CO2/l,2013,5,10,7.5,0.1,liter
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,seeding,fuel for equipment,EU-28 Propane,1.79,kg CO2/l,2013,5,10,7.5,0.1,liter
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,ocean deployment,fuel for transport,none,0.00,kg CO2/l,NA,0,0,0,0,liter
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,ocean deployment,fuel for transport,US diesel,3.2,kg CO2/l,2013,0.001,0.08,0.046432353,0.001,liter
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,ocean deployment,fuel for transport,US gasoline,3.0,kg CO2/l,2013,0.001,0.08,0.046432353,0.001,liter
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,ocean deployment,support lines,none,0.0,kg CO2/kg,NA,0,0,0,0,kg
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,ocean deployment,support lines,polyamide fibers,10.7,kg CO2/kg,2016,10,50,21.5,1,kg
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,ocean deployment,support lines,PP fibers,2.31,kg CO2/kg,2016,10,50,21.5,1,kg
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,ocean deployment,support lines,PET fibers,4.67,kg CO2/kg,2016,10,50,21.5,1,kg
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,ocean deployment,support lines,RPET fibers,0.98,kg CO2/kg,,10,50,21.5,1,kg
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,ocean deployment,support lines,nylon 66,8.04,kg CO2/kg,2015,10,50,21.5,1,kg
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,ocean deployment,anchors,none,0.0,kg CO2/kg,NA,0,0,0,0,kg
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,ocean deployment,anchors,concrete,0.13,kg CO2/kg,2016,952,6099,2668,1,kg
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,ocean deployment,anchors,steel,2.5,kg CO2/kg,2007,952,6099,2668,1,kg
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,ocean deployment,anchors,chromium steel,4.2,kg CO2/kg,2015,952,6099,2668,1,kg
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,ocean deployment,buoys,none,0.0,kg CO2/kg,NA,0,0,0,0,kg
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,ocean deployment,buoys,polyamide fibers,10.7,kg CO2/kg,2016,33,53,43,1,kg
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,ocean deployment,buoys,PP fibers,2.31,kg CO2/kg,2016,33,53,43,1,kg
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,ocean deployment,buoys,PET fibers,4.67,kg CO2/kg,2016,33,53,43,1,kg
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,ocean deployment,buoys,RPET fibers,0.98,kg CO2/kg,,33,53,43,1,kg
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,ocean deployment,buoys,PVC,2.9,kg CO2/kg,2005,33,53,43,1,kg
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,ocean deployment,chains,none,0.0,kg CO2/kg,NA,0,0,0,0,kg
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,ocean deployment,chains,steel,2.5,kg CO2/kg,2007,38.4,144,91.2,1,kg
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,ocean deployment,chains,chromium steel,4.2,kg CO2/kg,2015,38.4,144,91.2,1,kg
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,ocean deployment,buoy rope,none,0.0,kg CO2/kg,NA,0,0,0,0,kg
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,ocean deployment,buoy rope,polyamide fibers,10.7,kg CO2/kg,2016,10,50,21.5,1,kg
seaweed cultivation and harvest,long-line,ocean cultivation and harvest,ocean deployment,buoy rope,PP fibers,2.31,kg CO2/kg,2016,10,50,21.5,1,kg
